,symbol,sm_name,desc,an_dt,t_date,open,adj_close,intraday_return
29,COCHINSHIP,Cochin Shipyard Limited,Record Date,2024-01-30 19:22:56,2024-01-31 19:22:56,935.0,912.2,-2.4385026737967865
30,QUESS,Quess Corp Limited,Record Date,2024-01-30 19:09:14,2024-01-31 19:09:14,492.8,504.25,2.32345779220779
31,SMCGLOBAL,SMC Global Securities Limited,Record Date,2024-01-30 18:58:15,2024-01-31 18:58:15,109.1,109.7,0.5499541704858006
32,SHANTIGEAR,Shanthi Gears Limited,Record Date,2024-01-30 16:27:05,2024-01-31 16:27:05,534.4,546.65,2.292290419161677
33,IRCON,Ircon International Limited,Record Date,2024-01-30 16:20:08,2024-01-31 16:20:08,235.8,237.35,0.6573367260390088
34,JUBLINGREA,Jubilant Ingrevia Limited,Record Date,2024-01-30 15:47:56,2024-01-31 15:47:56,429.95,437.8,1.82579369694151
35,VIDHIING,Vidhi Specialty Food Ingredients Limited,Record Date,2024-01-30 15:31:35,2024-01-31 15:31:35,410.25,409.85,-0.09750152346129853
40,ISFT,Intrasoft Technologies Limited,Record Date,2024-01-29 21:56:49,2024-01-30 21:56:49,166.0,159.9,-3.6746987951807193
41,POWERGRID,Power Grid Corporation of India Limited,Record Date,2024-01-29 19:47:08,2024-01-30 19:47:08,254.0,254.1,0.039370078740155245
42,ITC,ITC Limited,Record Date,2024-01-29 18:46:33,2024-01-30 18:46:33,447.0,431.71,-3.420581655480989
43,IMPAL,India Motor Parts and Accessories Limited,Record Date,2024-01-29 17:51:50,2024-01-30 17:51:50,1170.0,1126.14,-3.7487179487179403
44,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Record Date,2024-01-29 17:33:48,2024-01-30 17:33:48,165.0,162.5,-1.5151515151515151
45,DOLATALGO,Dolat Algotech Limited,Record Date,2024-01-29 17:26:36,2024-01-30 17:26:36,68.0,73.9,8.676470588235302
46,CANFINHOME,Can Fin Homes Limited,Record Date,2024-01-29 15:59:08,2024-01-30 15:59:08,767.9,764.35,-0.4622997786170015
47,CANFINHOME,Can Fin Homes Limited,Record Date,2024-01-29 15:47:39,2024-01-30 15:47:39,767.9,764.35,-0.4622997786170015
49,IBULHSGFIN,Indiabulls Housing Finance Limited,Record Date,2024-01-28 15:30:54,2024-01-29 15:30:54,177.83,177.65,-0.10122026654670574
50,IBULHSGFIN,Indiabulls Housing Finance Limited,Record Date,2024-01-28 15:30:54,2024-01-29 15:30:54,177.83,177.65,-0.10122026654670574
52,SHRIRAMFIN,Shriram Finance Limited,Record Date,2024-01-25 21:27:38,2024-01-26 21:27:38,2432.0,2398.78,-1.3659539473684128
53,PGHL,Procter & Gamble Health Limited,Record Date,2024-01-25 18:27:52,2024-01-26 18:27:52,5301.95,5174.9,-2.3962881581305027
54,AJANTPHARM,Ajanta Pharma Limited,Record Date,2024-01-25 17:53:01,2024-01-26 17:53:01,2185.05,2152.32,-1.4979062264021425
55,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Record Date,2024-01-25 16:05:44,2024-01-26 16:05:44,1270.0,1229.42,-3.195275590551175
56,GREENPANEL,Greenpanel Industries Limited,Record Date,2024-01-25 15:37:57,2024-01-26 15:37:57,402.95,397.7,-1.3028911775654548
